begin lu_log
0	3	111	1	1	1	111	111	15224	2266	0	0
0	2	111	1	1	1	111	111	5212	1464	0	0
0	1	111	1	1	1	111	111	1460	772	0	0
0	0	111	1	1	1	111	111	306316	304532	0	0
1	3	111	28	28	28	111	111	3578	6548	0	1
1	2	111	28	28	28	111	111	2542	1438	0	1
1	1	111	28	28	28	111	111	2262	1308	0	1
1	0	111	28	28	28	111	111	355502	347528	0	1
1	3	111	1	1	1	111	111	1546	696	0	2
1	2	111	1	1	1	111	111	888	496	0	2
1	1	111	1	1	1	111	111	700	376	0	2
1	0	111	1	1	1	111	111	318078	358664	0	2
0	3	111	1	1	1	1	1	1698	1038	3	3
0	2	111	1	1	1	1	1	688	788	3	3
0	1	111	1	1	1	1	1	440	628	3	3
0	0	111	1	1	1	1	1	319520	311824	3	3
1	3	111	27	27	27	27	27	2832	1464	3	4
1	2	111	27	27	27	27	27	1672	1246	3	4
1	1	111	27	27	27	27	27	1766	1156	3	4
1	0	111	27	27	27	27	27	349578	369100	3	4
1	3	111	1	1	1	1	1	1304	652	3	5
1	2	111	1	1	1	1	1	740	534	3	5
1	1	111	1	1	1	1	1	722	524	3	5
1	0	111	1	1	1	1	1	313906	309244	3	5
0	3	111	1	3	3	1	111	1970	1152	6	6
0	2	111	1	3	3	1	111	946	790	6	6
0	1	111	1	3	3	1	111	672	740	6	6
0	0	111	1	3	3	1	111	316788	315998	6	6
1	3	111	30	30	8	30	30	2266	1920	6	7
1	2	111	30	30	8	30	30	1722	1464	6	7
1	1	111	30	30	8	30	30	1792	1740	6	7
1	0	111	30	30	8	30	30	360510	325626	6	7
1	3	111	3	3	29	111	111	1468	2100	6	8
1	2	111	3	3	29	111	111	876	1792	6	8
1	1	111	3	3	29	111	111	800	1582	6	8
1	0	111	3	3	29	111	111	315608	356306	6	8
1	3	111	30	30	56	30	8	2584	2508	6	9
1	2	111	30	30	56	30	8	1752	1904	6	9
1	1	111	30	30	56	30	8	1738	2046	6	9
1	0	111	30	30	56	30	8	359768	429464	6	9
0	3	111	1	1	1	1	1	1640	944	10	10
0	2	111	1	1	1	1	1	600	820	10	10
0	1	111	1	1	1	1	1	424	580	10	10
0	0	111	1	1	1	1	1	311666	312838	10	10
1	3	111	25	25	30	25	25	2566	2576	10	11
1	2	111	25	25	30	25	25	1700	1996	10	11
1	1	111	25	25	30	25	25	1632	2000	10	11
1	0	111	25	25	30	25	25	352490	361538	10	11
1	3	111	1	1	1	1	1	1580	660	10	12
1	2	111	1	1	1	1	1	828	474	10	12
1	1	111	1	1	1	1	1	922	500	10	12
1	0	111	1	1	1	1	1	311214	369384	10	12
0	3	111	1	1	1	1	1	1876	936	13	13
0	2	111	1	1	1	1	1	544	682	13	13
0	1	111	1	1	1	1	1	468	732	13	13
0	0	111	1	1	1	1	1	323244	322192	13	13
1	3	111	24	29	29	24	29	3764	1678	13	14
1	2	111	24	29	29	24	29	2966	1182	13	14
1	1	111	24	29	29	24	29	2890	1226	13	14
1	0	111	24	29	29	24	29	375480	366626	13	14
1	3	111	1	1	1	1	1	1456	710	13	15
1	2	111	1	1	1	1	1	980	514	13	15
1	1	111	1	1	1	1	1	840	366	13	15
1	0	111	1	1	1	1	1	324216	324008	13	15
0	3	111	1	2	4	1	2	1802	2722	16	16
0	2	111	1	2	4	1	2	708	906	16	16
0	1	111	1	2	4	1	2	712	980	16	16
0	0	111	1	2	4	1	2	322880	333278	16	16
1	3	111	27	27	55	27	27	2724	2408	16	17
1	2	111	27	27	55	27	27	1762	1948	16	17
1	1	111	27	27	55	27	27	1974	1966	16	17
1	0	111	27	27	55	27	27	362380	441982	16	17
1	3	111	4	35	35	4	41.999999999999992895	3804	2030	16	18
1	2	111	4	35	35	4	41.999999999999992895	2838	1724	16	18
1	1	111	4	35	35	4	41.999999999999992895	2784	1728	16	18
1	0	111	4	35	35	4	41.999999999999992895	464350	419986	16	18
1	3	111	61	63	63	61.000000000000007105	75.599999999999994316	4626	2242	16	19
1	2	111	61	63	63	61.000000000000007105	75.599999999999994316	3644	2052	16	19
1	1	111	61	63	63	61.000000000000007105	75.599999999999994316	3710	2154	16	19
1	0	111	61	63	63	61.000000000000007105	75.599999999999994316	457198	454098	16	19
0	3	111	1	1	1	2	1	1492	814	20	20
0	2	111	1	1	1	2	1	660	618	20	20
0	1	111	1	1	1	2	1	432	744	20	20
0	0	111	1	1	1	2	1	326338	319242	20	20
1	3	111	30	59	59	30.983606557377047608	70.799999999999997158	3858	2368	20	21
1	2	111	30	59	59	30.983606557377047608	70.799999999999997158	2652	1944	20	21
1	1	111	30	59	59	30.983606557377047608	70.799999999999997158	2948	1966	20	21
1	0	111	30	59	59	30.983606557377047608	70.799999999999997158	470206	509832	20	21
1	3	111	1	1	1	1	1	1462	648	20	22
1	2	111	1	1	1	1	1	758	502	20	22
1	1	111	1	1	1	1	1	742	436	20	22
1	0	111	1	1	1	1	1	323528	324570	20	22
0	3	111	1	3	3	2	3	1928	1256	23	23
0	2	111	1	3	3	2	3	762	876	23	23
0	1	111	1	3	3	2	3	736	1016	23	23
0	0	111	1	3	3	2	3	322334	324574	23	23
1	3	111	31	62	57	37.458333333333328596	61.999999999999992895	4472	4290	23	24
1	2	111	31	62	57	37.458333333333328596	61.999999999999992895	3304	3260	23	24
1	1	111	31	62	57	37.458333333333328596	61.999999999999992895	3374	3024	23	24
1	0	111	31	62	57	37.458333333333328596	61.999999999999992895	454894	500814	23	24
1	3	111	3	31	59	3	30.999999999999996447	2628	2754	23	25
